IEA_ETP,EDGE
Buildings|Buildings - Total final energy consumption by end-use|Space heating,space_heating
Buildings|Buildings - Total final energy consumption by end-use|Water heating,water_heating
Buildings|Buildings - Total final energy consumption by end-use|Space cooling,space_cooling
Buildings|Buildings - Total final energy consumption by end-use|Lighting,lighting
Buildings|Buildings - Total final energy consumption by end-use|Appliances and miscellaneous equipments,appliances
Buildings|Buildings - Total final energy consumption by end-use|Cooking,cooking
