iea_product;iea_flows;pfu
ONONSPEC;AGRICULT;Petroleum Products
WHITESP;AGRICULT;Petroleum Products
NAPHTHA;AGRICULT;Petroleum Products
BITUMEN;AGRICULT;Petroleum Products
LUBRIC;AGRICULT;Petroleum Products
NONBIOGASO;AGRICULT;Petroleum Products
REFFEEDS;AGRICULT;Petroleum Products
NONCRUDE;AGRICULT;Petroleum Products
OILSHALE;AGRICULT;Petroleum Products
LPG;AGRICULT;Petroleum Products
ADDITIVE;AGRICULT;Petroleum Products
ETHANE;AGRICULT;Petroleum Products
PETCOKE;AGRICULT;Petroleum Products
HEATNS;AGRICULT;Petroleum Products
MOTORGAS;AGRICULT;Petroleum Products
GASDIES;AGRICULT;Petroleum Products
SBIOMASS;AGRICULT;Petroleum Products
GBIOMASS;AGRICULT;Petroleum Products
HEAT;AGRICULT;Heat
GEOTHERM;AGRICULT;Geothermal
SOLARTH;AGRICULT;Solar
MUNWASTER;AGRICULT;Biomass
MUNWASTEN;AGRICULT;Biomass
INDWASTE;AGRICULT;Biomass
PRIMSBIO;AGRICULT;Biomass
BIOGASOL;AGRICULT;Biomass
BIOGASES;AGRICULT;Biomass
BIODIESEL;AGRICULT;Biomass
OBIOLIQ;AGRICULT;Biomass
RENEWNS;AGRICULT;Biomass
CHARCOAL;AGRICULT;Biomass
NATGAS;AGRICULT;Natural Gas
ELECTR;AGRICULT;Electricity
HARDCOAL;RESIDENT;Coal Products
BROWN;RESIDENT;Coal Products
ANTCOAL;RESIDENT;Coal Products
COKCOAL;RESIDENT;Coal Products
BITCOAL;RESIDENT;Coal Products
SUBCOAL;RESIDENT;Coal Products
LIGNITE;RESIDENT;Coal Products
PATFUEL;RESIDENT;Coal Products
OVENCOKE;RESIDENT;Coal Products
GASCOKE;RESIDENT;Coal Products
COALTAR;RESIDENT;Coal Products
BKB;RESIDENT;Coal Products
GASWKSGS;RESIDENT;Coal Products
COKEOVGS;RESIDENT;Coal Products
BLFURGS;RESIDENT;Coal Products
OGASES;RESIDENT;Coal Products
PEAT;RESIDENT;Coal Products
PEATPROD;RESIDENT;Coal Products
MANGAS;RESIDENT;Coal Products
HARDCOAL;COMMPUB;Coal Products
BROWN;COMMPUB;Coal Products
ANTCOAL;COMMPUB;Coal Products
COKCOAL;COMMPUB;Coal Products
BITCOAL;COMMPUB;Coal Products
SUBCOAL;COMMPUB;Coal Products
LIGNITE;COMMPUB;Coal Products
PATFUEL;COMMPUB;Coal Products
OVENCOKE;COMMPUB;Coal Products
GASCOKE;COMMPUB;Coal Products
COALTAR;COMMPUB;Coal Products
BKB;COMMPUB;Coal Products
GASWKSGS;COMMPUB;Coal Products
COKEOVGS;COMMPUB;Coal Products
BLFURGS;COMMPUB;Coal Products
OGASES;COMMPUB;Coal Products
PEAT;COMMPUB;Coal Products
PEATPROD;COMMPUB;Coal Products
MANGAS;COMMPUB;Coal Products
HARDCOAL;ONONSPEC;Coal Products
BROWN;ONONSPEC;Coal Products
ANTCOAL;ONONSPEC;Coal Products
COKCOAL;ONONSPEC;Coal Products
BITCOAL;ONONSPEC;Coal Products
SUBCOAL;ONONSPEC;Coal Products
LIGNITE;ONONSPEC;Coal Products
PATFUEL;ONONSPEC;Coal Products
OVENCOKE;ONONSPEC;Coal Products
GASCOKE;ONONSPEC;Coal Products
COALTAR;ONONSPEC;Coal Products
BKB;ONONSPEC;Coal Products
GASWKSGS;ONONSPEC;Coal Products
COKEOVGS;ONONSPEC;Coal Products
BLFURGS;ONONSPEC;Coal Products
OGASES;ONONSPEC;Coal Products
PEAT;ONONSPEC;Coal Products
PEATPROD;ONONSPEC;Coal Products
MANGAS;ONONSPEC;Coal Products
