"","region","regionAgg"
"224","TKL","Non-OECD"
"225","TON","Non-OECD"
"226","TTO","Non-OECD"
"227","TUN","Non-OECD"
"228","TUR","OECD"
"229","TKM","Non-OECD"
"230","TCA","Non-OECD"
"231","TUV","Non-OECD"
"232","UGA","Non-OECD"
"233","UKR","Non-OECD"
"234","ARE","Non-OECD"
"235","GBR","EUR"
"236","USA","USA"
"237","UMI","Non-OECD"
"238","URY","Non-OECD"
"239","UZB","Non-OECD"
"240","VUT","Non-OECD"
"241","VEN","Non-OECD"
"242","VNM","ASEAN"
"243","VGB","Non-OECD"
"244","VIR","Non-OECD"
"245","WLF","Non-OECD"
"246","ESH","Non-OECD"
"247","YEM","Non-OECD"
"248","ZMB","Non-OECD"
"249","ZWE","Non-OECD"
