,gcm,rcp,ssp,variable,start,end,folder,file,split
,MRI-ESM2-0,picontrol,picontrol,rsds,2021,2030,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_rsds_global_daily_2021_2030.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,rsds,2031,2040,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_rsds_global_daily_2031_2040.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,rsds,2041,2050,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_rsds_global_daily_2041_2050.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,rsds,2051,2060,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_rsds_global_daily_2051_2060.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,rsds,2061,2070,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_rsds_global_daily_2061_2070.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,rsds,2071,2080,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_rsds_global_daily_2071_2080.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,rsds,2081,2090,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_rsds_global_daily_2081_2090.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,rsds,2091,2100,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_rsds_global_daily_2091_2100.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,huss,1961,1970,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_huss_global_daily_1961_1970.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,huss,1971,1980,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_huss_global_daily_1971_1980.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,huss,1981,1990,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_huss_global_daily_1981_1990.nc,TRUE
